Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
91.998389721,-0.1684995,0.0274223,-0.7840205,-0.07426284,-0.05075415,0.9882829,-9.243736,-22.7395,-28.0992,995.1569
92.997216702,-0.2303281,-0.3279948,-0.5400985,-0.07835384,-0.04161258,0.986099,-9.614004,-22.74275,-27.65511,995.1622
93.998516560,0.07881456,0.2051308,-0.05225448,-0.07193198,-0.04248789,0.9874815,-9.578999,-24.15791,-27.64351,995.155
94.997344017,0.8207569,-0.09105004,-1.027942,-0.08372828,-0.0117092,0.9881576,-9.967596,-23.48376,-27.64752,995.1621
95.998643875,1.253556,0.1458946,-16.02914,-0.07582062,-0.04688409,0.9840705,-6.3827,-20.50465,-27.30751,995.1693
96.997470856,0.2643001,-0.03181387,2.021083,-0.07542726,-0.03963436,0.9866013,-5.303656,-19.01995,-27.32422,995.1675
97.998771191,-0.1684995,-0.03181387,0.4355895,-0.07734482,-0.04257509,0.9879848,-5.664791,-19.39238,-26.87711,995.1603
98.997598171,-4.620153,-0.2687586,45.01233,-0.05708726,-0.0456693,0.9921178,-7.463106,-21.98884,-27.67013,995.1603
99.998898029,-3.321754,-0.6241756,28.30368,-0.07450735,-0.03384114,0.9914879,-21.36618,-26.45622,-28.84085,995.1564
100.997725487,-0.4776421,0.1458946,-1.149903,-0.07728305,-0.04692295,0.9869424,-27.28154,-25.39087,-28.88879,995.16
101.999025345,-0.0448425,0.264367,0.130687,-0.07840529,-0.03917839,0.9832829,-27.2829,-25.39037,-29.26813,995.1692
102.997852802,-0.106671,0.0274223,0.130687,-0.077372,-0.04064301,0.9885011,-26.52847,-25.75479,-28.82562,995.1656
103.999152660,-0.0448425,0.08665846,-0.05225448,-0.07681827,-0.04403161,0.9903407,-27.67166,-24.6552,-28.8933,995.1603
104.997979641,0.1406431,-0.03181387,0.3136285,-0.07896486,-0.03292982,0.9891412,-27.2829,-25.39037,-29.26813,995.1569
105.999279499,0.1406431,0.1458946,0.984414,-0.07888795,-0.03919661,0.9851951,-27.65476,-25.39304,-29.26659,995.1621
106.998106956,-0.6000983,-0.1483709,1.010632,-0.07374304,-0.05363012,0.98488,-26.92177,-25.01795,-29.71524,995.1603
107.999406815,-2.144183,-0.4444382,27.21382,-0.06652549,-0.03811336,0.9990024,-32.50005,-22.53486,-29.7131,995.1533
108.998234272,0.3289576,-0.029785,-0.8372136,-0.07785157,-0.04256699,0.9851223,-34.76612,-21.07476,-29.27342,995.16
109.997061253,0.01981494,0.1479235,-0.1054475,-0.07343846,-0.04057623,0.9875274,-34.76612,-21.07476,-29.27342,995.1744
110.998361111,-0.1038421,0.1479235,-0.41035,-0.07158527,-0.03280922,0.9881511,-34.39586,-21.07151,-29.71751,995.1693
111.997189045,-0.7221273,0.2663959,-0.3493695,-0.07689466,-0.03919217,0.9899604,-35.12885,-21.44661,-29.26886,995.1622
112.998488426,-0.4129847,-0.6813829,-13.52116,-0.07073711,-0.02170605,0.9950545,-34.37759,-21.80986,-29.71146,995.155
